Class	Band1	Band2	Band3	Band4	Band5	Band6	Band7	Band8	Band9	Band10	Band11	Band12
"alfalfa"	1.399990	1.899990	2.399990	2.100010	5.800000	1.200000	1.500000	11.300000	14.200000	5.500000	-35.100000	-22.800000
"alfalfa"	3.399990	1.899990	3.399990	3.100010	6.800000	0.199997	2.500000	13.300000	12.200000	4.500000	-39.100000	-22.800000
"alfalfa"	0.399994	-1.100010	1.399990	0.100006	0.800003	-2.800000	0.500000	6.300000	10.200000	3.500000	-19.100000	-16.800000
"alfalfa"	1.399990	0.899994	1.399990	4.100010	4.800000	0.199997	1.500000	9.300000	12.200000	4.500000	-29.100000	-26.800000
"alfalfa"	1.399990	3.899990	2.399990	2.100010	6.800000	1.200000	4.500000	11.300000	13.200000	6.500000	-34.100000	-23.800000
"alfalfa"	2.399990	2.899990	2.399990	2.100010	5.800000	2.200000	2.500000	11.300000	15.200000	6.500000	-26.100000	-22.800000
"alfalfa"	4.399990	3.899990	0.399994	3.100010	3.800000	1.200000	2.500000	11.300000	13.200000	7.500000	-30.100000	-18.800000
"alfalfa"	-0.600010	-3.100010	1.399990	1.100010	2.800000	-0.800000	0.500000	7.300000	6.200000	2.500000	-22.100000	-18.800000
"alfalfa"	-0.600010	-0.100010	-0.600010	1.100010	2.800000	-1.800000	-0.500000	9.300000	9.200000	1.500000	-29.100000	-18.800000
"alfalfa"	-0.600010	2.899990	1.399990	2.100010	4.800000	-0.800000	2.500000	10.300000	11.200000	3.500000	-35.100000	-23.800000
"alfalfa"	0.399994	0.899994	2.399990	4.100010	7.800000	2.200000	2.500000	15.300000	13.200000	5.500000	-38.100000	-21.800000
"alfalfa"	1.399990	2.899990	0.399994	3.100010	5.800000	-0.800000	1.500000	14.300000	13.200000	5.500000	-44.100000	-30.800000
"alfalfa"	0.399994	2.899990	1.399990	1.100010	2.800000	-1.800000	0.500000	7.300000	10.200000	3.500000	-31.100000	-17.800000
"alfalfa"	1.399990	1.899990	2.399990	0.100006	2.800000	-4.800000	-0.500000	5.300000	7.200000	2.500000	-29.100000	-19.800000
"alfalfa"	1.399990	-1.100010	0.399994	2.100010	1.800000	0.199997	1.500000	8.300000	11.200000	4.500000	-34.100000	-21.800000
"alfalfa"	0.399994	0.899994	3.399990	3.100010	4.800000	-0.800000	3.500000	9.300000	11.200000	7.500000	-24.100000	-19.800000
"alfalfa"	1.399990	2.899990	3.399990	5.100010	5.800000	2.200000	3.500000	12.300000	13.200000	6.500000	-34.100000	-20.800000
"alfalfa"	0.399994	2.899990	2.399990	2.100010	4.800000	2.200000	3.500000	11.300000	9.200000	7.500000	-19.100000	-17.800000
"alfalfa"	-1.600010	0.899994	1.399990	0.100006	2.800000	-0.800000	2.500000	9.300000	12.200000	3.500000	-27.100000	-16.800000
"alfalfa"	-0.600010	-1.100010	-0.600010	-0.899990	0.800003	-2.800000	0.500000	8.300000	11.200000	3.500000	-39.100000	-18.800000
"alfalfa"	1.399990	3.899990	2.399990	4.100010	6.800000	0.199997	0.500000	11.300000	12.200000	5.500000	-26.100000	-16.800000
"alfalfa"	3.399990	3.899990	3.399990	3.100010	6.800000	1.200000	1.500000	15.300000	14.200000	9.500000	-29.100000	-24.800000
"alfalfa"	1.399990	4.899990	4.399990	2.100010	5.800000	0.199997	3.500000	13.300000	13.200000	7.500000	-25.100000	-13.800000
"alfalfa"	5.399990	6.899990	5.399990	5.100010	7.800000	3.200000	4.500000	18.300000	18.200000	7.500000	-56.100000	-26.800000
"alfalfa"	4.399990	5.899990	5.399990	7.100010	11.800000	6.200000	4.500000	17.300000	19.200000	9.500000	-57.100000	-34.800000
"alfalfa"	6.399990	6.899990	5.399990	5.100010	9.800000	5.200000	3.500000	18.300000	18.200000	7.500000	-49.100000	-33.800000
"alfalfa"	4.399990	5.899990	4.399990	5.100010	8.800000	3.200000	3.500000	16.300000	17.200000	6.500000	-41.100000	-25.800000
"alfalfa"	6.399990	6.899990	6.399990	5.100010	10.800000	3.200000	6.500000	19.300000	19.200000	10.500000	-55.100000	-35.800000
"alfalfa"	5.399990	6.899990	6.399990	7.100010	13.800000	5.200000	7.500000	19.300000	20.200000	8.500000	-51.100000	-35.800000
"alfalfa"	2.399990	1.899990	6.399990	6.100010	8.800000	2.200000	5.500000	15.300000	16.200000	9.500000	-44.100000	-20.800000
"alfalfa"	1.399990	4.899990	4.399990	6.100010	6.800000	1.200000	3.500000	15.300000	18.200000	7.500000	-52.100000	-28.800000
"alfalfa"	1.399990	5.899990	4.399990	5.100010	10.800000	2.200000	4.500000	17.300000	15.200000	8.500000	-50.100000	-28.800000
"alfalfa"	3.399990	5.899990	2.399990	5.100010	6.800000	2.200000	3.500000	12.300000	14.200000	7.500000	-36.100000	-26.800000
"alfalfa"	2.399990	3.899990	4.399990	5.100010	7.800000	2.200000	5.500000	14.300000	17.200000	10.500000	-42.100000	-24.800000
