Product_Code	Product_Category	Unit_Price
724	Entertainment	1499
650	Entertainment	1299
708	Entertainment	1299
722	Entertainment	1199
646	Entertainment	1199
649	Entertainment	1099
685	Entertainment	1099
721	Entertainment	999
680	Entertainment	999
720	Entertainment	899
684	Entertainment	899
644	Entertainment	799
679	Entertainment	799
719	Entertainment	799
647	Entertainment	699
683	Entertainment	699
718	Entertainment	599
643	Entertainment	599
678	Entertainment	599
656	Entertainment	499
662	Entertainment	499
682	Entertainment	499
716	Entertainment	499
717	Entertainment	499
655	Entertainment	399
661	Entertainment	399
669	Entertainment	399
677	Entertainment	399
713	Entertainment	399
715	Entertainment	399
761	Entertainment	299
775	Entertainment	299
780	Entertainment	299
697	Entertainment	299
654	Entertainment	299
660	Entertainment	299
668	Entertainment	299
681	Entertainment	299
712	Entertainment	299
714	Entertainment	299
760	Entertainment	199
763	Entertainment	8999
774	Entertainment	8999
779	Entertainment	8999
762	Entertainment	8499
653	Entertainment	8199
659	Entertainment	8199
667	Entertainment	8099
696	Entertainment	8099
711	Entertainment	8099
758	Entertainment	8099
759	Entertainment	8099
773	Entertainment	7999
778	Entertainment	7999
673	Entertainment	7599
652	Entertainment	7199
658	Entertainment	7199
666	Entertainment	7199
691	Entertainment	7099
731	Entertainment	7099
741	Entertainment	7099
757	Entertainment	7099
772	Entertainment	7099
777	Entertainment	7099
676	Entertainment	6799
672	Entertainment	6699
695	Entertainment	6599
730	Entertainment	6599
740	Entertainment	6599
651	Entertainment	6199
657	Entertainment	6199
665	Entertainment	6199
690	Entertainment	6199
729	Entertainment	6099
735	Entertainment	6099
739	Entertainment	6099
751	Entertainment	6099
756	Entertainment	6099
771	Entertainment	6099
776	Entertainment	6099
819	Entertainment	5999
675	Entertainment	5799
671	Entertainment	5699
664	Entertainment	5199
689	Entertainment	5199
694	Entertainment	5199
734	Entertainment	5099
744	Entertainment	5099
750	Entertainment	5099
755	Entertainment	5099
766	Entertainment	5099
770	Entertainment	5099
795	Entertainment	5099
810	Entertainment	5099
818	Entertainment	5099
674	Entertainment	4799
768	Entertainment	4699
670	Entertainment	4699
704	Entertainment	4699
749	Entertainment	4599
765	Entertainment	4599
663	Entertainment	4199
688	Entertainment	4199
700	Entertainment	4199
707	Entertainment	4199
728	Entertainment	4199
733	Entertainment	4199
738	Entertainment	4199
743	Entertainment	4099
748	Entertainment	4099
754	Entertainment	4099
794	Entertainment	4099
802	Entertainment	4099
809	Entertainment	4099
817	Entertainment	4099
693	Entertainment	3699
703	Entertainment	3699
727	Entertainment	3699
737	Entertainment	3699
747	Entertainment	3699
764	Entertainment	3599
767	Entertainment	3599
793	Entertainment	3599
801	Entertainment	3599
808	Entertainment	3599
816	Entertainment	3599
687	Entertainment	3199
699	Entertainment	3199
706	Entertainment	3199
726	Entertainment	3199
732	Entertainment	3199
736	Entertainment	3199
742	Entertainment	3199
746	Entertainment	3199
753	Entertainment	3199
769	Entertainment	3099
787	Entertainment	3099
792	Entertainment	3099
800	Entertainment	3099
807	Entertainment	3099
815	Entertainment	3099
702	Entertainment	2699
745	Entertainment	2699
786	Entertainment	2599
791	Entertainment	2599
799	Entertainment	2599
806	Entertainment	2599
814	Entertainment	2599
686	Entertainment	2199
692	Entertainment	2199
698	Entertainment	2199
705	Entertainment	2199
752	Entertainment	2199
785	Entertainment	2099
790	Entertainment	2099
798	Entertainment	2099
805	Entertainment	2099
813	Entertainment	2099
701	Entertainment	1699
784	Entertainment	1699
789	Entertainment	1699
797	Entertainment	1599
804	Entertainment	1599
812	Entertainment	1599
783	Entertainment	1499
782	Entertainment	1199
788	Entertainment	1199
796	Entertainment	1199
803	Entertainment	1099
811	Entertainment	1099
781	Entertainment	999
207	Game Consoles	1499
205	Game Consoles	1399
204	Game Consoles	1299
206	Game Consoles	1299
208	Game Consoles	1199
203	Game Consoles	899
200	Game Consoles	899
199	Game Consoles	799
201	Game Consoles	799
202	Game Consoles	699
210	Game Consoles	399
209	Game Consoles	299
211	Game Consoles	199
469	Hardware	2199
355	Hardware	1999
468	Hardware	1999
354	Hardware	1799
467	Hardware	1799
474	Hardware	1799
428	Hardware	1699
383	Hardware	1599
466	Hardware	1599
473	Hardware	1599
427	Hardware	1499
352	Hardware	1399
382	Hardware	1399
421	Hardware	1399
465	Hardware	1399
472	Hardware	1399
386	Hardware	1299
426	Hardware	1299
351	Hardware	1199
381	Hardware	1199
420	Hardware	1199
464	Hardware	1199
471	Hardware	1199
425	Hardware	1099
350	Hardware	999
380	Hardware	999
419	Hardware	999
463	Hardware	999
470	Hardware	999
604	Hardware	939
384	Hardware	899
424	Hardware	899
576	Hardware	899
579	Hardware	899
603	Hardware	839
349	Hardware	799
379	Hardware	799
418	Hardware	799
446	Hardware	799
447	Hardware	799
444	Hardware	749
445	Hardware	749
454	Hardware	749
461	Hardware	749
462	Hardware	749
602	Hardware	739
423	Hardware	699
442	Hardware	699
443	Hardware	699
452	Hardware	699
453	Hardware	699
459	Hardware	699
460	Hardware	699
575	Hardware	699
578	Hardware	699
608	Hardware	699
440	Hardware	649
441	Hardware	649
450	Hardware	649
451	Hardware	649
457	Hardware	649
458	Hardware	649
601	Hardware	639
348	Hardware	599
377	Hardware	599
378	Hardware	599
417	Hardware	599
438	Hardware	599
439	Hardware	599
448	Hardware	599
449	Hardware	599
455	Hardware	599
456	Hardware	599
480	Hardware	599
483	Hardware	599
607	Hardware	599
347	Hardware	550
600	Hardware	539
346	Hardware	500
340	Hardware	499
363	Hardware	499
375	Hardware	499
376	Hardware	499
422	Hardware	499
477	Hardware	499
479	Hardware	499
482	Hardware	499
574	Hardware	499
577	Hardware	499
606	Hardware	499
345	Hardware	450
599	Hardware	439
344	Hardware	400
339	Hardware	399
358	Hardware	399
360	Hardware	399
362	Hardware	399
373	Hardware	399
374	Hardware	399
393	Hardware	399
416	Hardware	399
476	Hardware	399
478	Hardware	399
481	Hardware	399
572	Hardware	399
589	Hardware	399
592	Hardware	399
597	Hardware	399
605	Hardware	399
359	Hardware	349
368	Hardware	349
392	Hardware	349
571	Hardware	349
586	Hardware	349
596	Hardware	349
614	Hardware	349
616	Hardware	349
598	Hardware	339
343	Hardware	300
338	Hardware	299
342	Hardware	299
357	Hardware	299
361	Hardware	299
367	Hardware	299
371	Hardware	299
372	Hardware	299
389	Hardware	299
391	Hardware	299
394	Hardware	299
395	Hardware	299
396	Hardware	299
475	Hardware	299
569	Hardware	299
570	Hardware	299
582	Hardware	299
583	Hardware	299
585	Hardware	299
588	Hardware	299
591	Hardware	299
595	Hardware	299
613	Hardware	269
341	Hardware	249
366	Hardware	249
388	Hardware	249
390	Hardware	249
402	Hardware	249
414	Hardware	249
434	Hardware	249
584	Hardware	249
594	Hardware	249
615	Hardware	239
612	Hardware	229
413	Hardware	219
356	Hardware	199
365	Hardware	199
369	Hardware	199
370	Hardware	199
387	Hardware	199
401	Hardware	199
412	Hardware	199
415	Hardware	199
433	Hardware	199
568	Hardware	199
573	Hardware	199
580	Hardware	199
581	Hardware	199
587	Hardware	199
590	Hardware	199
593	Hardware	199
609	Hardware	199
610	Hardware	199
611	Hardware	199
411	Hardware	189
400	Hardware	179
410	Hardware	179
432	Hardware	179
409	Hardware	159
364	Hardware	149
399	Hardware	149
408	Hardware	149
431	Hardware	149
538	Hardware	149
407	Hardware	139
508	Hardware	139
537	Hardware	139
398	Hardware	129
406	Hardware	129
430	Hardware	129
437	Hardware	129
536	Hardware	129
558	Hardware	129
507	Hardware	124
512	Hardware	124
405	Hardware	119
