Customer_ID	Promo_1_Response	Promo_2_Response	Promo_3_Response	Promo_1_Discount	Promo_2_Discount	Promo_3_Discount
100000111	0	0	0	14.22	14.55	24.27
100000199	1	0	1	11.65	4.38	25.15
100000343	0	0	0	3.46	21.37	18.65
100000375	0	0	0	0.44	3.34	10.12
100000392	0	0	0	12.14	2.05	22.32
100000444	1	0	1	13.56	11.43	26.43
100000462	1	0	1	4.43	5.28	2.12
100000480	1	0	1	6.69	8.25	1.98
100000482	0	0	0	4.71	4.44	11.20
100000528	1	0	1	8.31	14.12	24.55
100000586	1	1	1	7.65	9.05	19.11
100000610	1	0	1	2.64	13.18	16.93
100000619	0	0	0	6.36	10.19	8.07
100000660	0	0	0	3.12	14.12	25.34
100000689	1	0	1	11.70	22.32	23.06
100000726	0	0	0	7.54	8.73	28.48
100000784	1	0	1	1.30	6.10	20.77
100000789	1	0	1	14.19	19.49	23.64
100000915	0	0	0	11.87	15.33	5.57
100000920	0	0	0	1.97	0.50	3.89
100001005	1	0	1	2.14	19.06	23.48
100001084	0	0	0	7.97	15.36	16.42
100001115	0	0	0	11.28	13.85	27.24
100001116	0	0	0	2.19	17.81	24.56
100001139	0	0	0	9.43	2.74	7.59
100001156	1	0	1	4.63	12.28	23.47
100001244	0	0	0	3.13	11.62	18.93
100001267	1	1	1	12.09	4.31	21.74
100001316	1	1	1	6.10	1.63	28.26
100001405	0	0	0	7.40	5.73	6.96
100001467	0	0	0	12.44	10.72	27.58
100001520	0	0	0	10.90	5.69	8.15
100001540	1	0	1	11.13	14.04	14.11
100001573	0	0	0	10.68	3.49	10.64
100001656	0	0	0	13.06	20.47	20.41
100001714	0	0	0	12.74	1.92	0.14
100001809	0	0	0	12.18	1.91	28.84
100001841	0	0	0	0.73	0.56	2.61
100001872	0	0	0	8.24	3.17	10.82
100001892	0	0	0	8.37	16.31	27.44
100001916	1	0	1	12.87	5.09	24.42
100001935	0	0	0	9.22	9.03	25.14
100002002	1	0	1	6.44	7.26	14.49
100002068	1	0	1	10.55	1.22	1.81
100002071	0	0	0	12.84	16.22	25.18
100002140	0	0	0	12.49	16.08	25.07
100002206	1	0	1	1.08	11.66	3.98
100002442	0	0	0	14.78	19.96	27.75
100002445	1	0	1	8.00	6.63	25.69
100002492	0	0	0	11.34	6.09	2.42
100002536	1	0	1	4.87	2.89	1.76
100002542	0	0	0	5.05	7.19	6.76
100002616	0	0	0	12.67	8.00	14.77
100002666	1	0	1	5.35	2.00	3.36
100002691	0	0	0	5.40	3.42	29.09
100002737	0	0	0	13.36	9.69	17.71
100002799	0	0	0	8.78	16.51	29.76
100002862	0	0	0	2.06	3.99	18.98
100002909	0	0	0	9.19	1.20	2.31
100002989	0	0	0	6.27	8.19	25.51
100003019	1	0	1	8.28	8.16	27.13
100003070	0	0	0	6.03	5.06	15.56
100003104	0	0	0	12.86	6.25	4.16
100003173	0	0	0	8.06	5.92	28.42
100003203	0	0	0	5.46	7.53	29.65
100003292	1	0	1	13.71	7.45	26.24
100003293	1	0	1	10.02	12.91	29.70
100003346	0	0	0	13.69	17.60	26.37
100003524	0	0	0	2.93	15.77	18.15
100003602	1	1	1	4.84	2.02	28.40
100003650	0	0	0	1.06	6.98	22.73
100003651	0	0	0	10.19	9.07	6.32
100003688	1	0	1	2.33	11.01	11.53
100003692	1	0	1	12.49	4.18	8.98
100003753	0	0	0	10.01	8.86	24.35
100003760	0	0	0	12.16	1.18	25.86
100003813	0	0	0	6.42	13.53	10.46
100003814	1	0	1	12.91	0.87	0.32
100003903	1	0	1	13.18	22.22	25.66
100003973	0	0	0	14.05	12.85	10.88
100004050	0	0	0	7.17	0.58	23.99
100004078	1	0	1	14.23	2.18	17.54
100004146	0	0	0	14.43	10.48	12.15
100004164	0	0	0	10.72	1.94	3.92
100004171	0	0	0	13.69	21.16	22.54
100004238	0	0	0	6.24	13.84	19.39
100004264	1	0	1	2.83	4.22	15.68
100004341	1	0	1	10.07	19.42	15.66
100004423	1	0	1	3.09	0.09	16.97
100004435	1	0	1	2.67	5.99	25.83
100004471	0	0	0	6.12	11.71	0.37
100004518	1	0	1	6.91	18.20	21.40
100004531	0	0	0	10.06	22.20	19.02
100004535	0	0	0	0.52	20.51	2.43
100004545	1	0	1	0.65	4.31	20.74
100004559	1	0	1	6.17	7.38	4.60
100004652	0	0	0	13.42	16.26	29.24
100004726	0	0	0	12.50	11.46	10.38
100004805	1	0	1	2.78	21.16	7.12
100004808	0	0	0	12.37	17.84	19.54
100004832	0	0	0	2.70	8.35	20.88
100004870	0	0	0	13.79	22.15	28.38
100004958	1	0	1	2.16	9.25	15.39
100005019	1	0	1	7.97	4.49	16.47
100005070	0	0	0	8.47	8.05	16.29
100005075	1	0	1	7.12	6.38	19.71
100005091	0	0	0	3.30	18.27	21.42
100005107	0	0	0	8.91	5.19	7.86
100005168	0	0	0	14.85	4.64	25.82
100005169	1	0	1	5.44	18.12	10.68
100005246	1	0	1	11.43	15.62	6.41
100005251	1	0	1	4.15	15.94	3.96
100005261	0	0	0	0.75	6.95	20.79
100005306	0	0	0	5.51	17.09	3.92
100005361	1	0	1	2.13	16.73	5.98
100005451	1	0	1	3.16	2.62	3.55
100005540	1	0	1	12.10	9.85	8.57
100005593	1	1	1	4.11	9.75	18.00
100005672	0	0	0	0.05	11.47	11.52
100005700	1	0	1	10.21	5.31	11.07
100005725	0	0	0	4.05	18.36	7.07
100005753	0	0	0	2.45	0.53	0.50
100005839	0	0	0	7.93	11.70	21.40
100005906	0	0	0	1.80	21.58	18.87
100005922	0	0	0	9.19	19.05	19.33
100005950	1	0	1	11.06	9.80	21.87
100005989	1	0	1	9.76	6.50	22.32
100006011	0	0	0	1.07	11.42	2.47
100006057	1	0	1	9.96	21.84	2.12
100006104	0	0	0	9.15	18.71	20.04
100006171	0	0	0	8.32	11.81	23.54
100006183	0	0	0	7.24	15.49	5.08
100006321	0	0	0	6.03	18.92	22.36
100006369	0	0	0	14.42	1.02	27.08
100006432	0	0	0	9.09	21.84	4.03
100006476	0	0	0	12.63	19.95	27.69
100006493	1	0	1	9.01	8.79	18.82
100006506	1	0	1	13.89	1.64	21.91
100006531	1	0	1	14.46	16.19	29.14
100006559	0	0	0	8.11	15.27	10.68
100006569	1	0	1	10.58	17.03	24.77
100006570	1	0	1	0.52	1.88	21.22
100006664	0	0	0	12.12	21.36	8.85
100006701	0	0	0	11.19	14.72	19.62
100006739	0	0	0	9.76	0.37	14.69
100006744	0	0	0	12.21	0.44	9.50
100006792	1	0	1	12.17	19.88	18.90
100006844	0	0	0	8.84	12.52	6.13
100006863	0	0	0	9.16	20.74	21.07
100006884	1	0	1	1.92	16.85	19.24
100006925	1	0	1	6.96	6.28	11.19
100006929	1	0	1	9.59	0.44	6.20
100007015	0	0	0	14.87	11.83	18.38
100007101	0	0	0	2.02	6.16	0.90
100007186	1	0	1	10.71	4.45	20.56
100007365	0	0	0	8.76	21.17	0.22
100007380	1	0	1	2.50	14.32	16.56
100007407	0	0	0	14.89	8.34	8.84
100007428	0	0	0	3.03	22.07	20.63
100007515	0	0	0	12.98	8.76	18.42
100007592	0	0	0	12.23	18.54	16.57
100007661	0	0	0	4.52	21.21	0.34
100007845	0	0	0	11.34	21.59	23.37
100007935	1	0	1	12.16	21.16	19.32
100007941	0	0	0	8.83	16.11	27.57
100007981	1	1	1	10.71	7.77	27.53
100008029	0	0	0	2.23	19.96	16.30
100008119	1	0	1	12.83	21.55	6.44
100008198	0	0	0	9.96	11.69	29.58
100008251	0	0	0	9.22	22.38	18.82
100008334	1	0	1	1.79	1.95	29.56
100008360	1	1	1	4.05	0.10	17.94
100008441	1	0	1	4.11	2.76	6.11
100008484	0	0	0	6.29	12.08	20.06
100008540	0	0	0	9.71	2.11	28.10
100008584	0	0	0	7.76	17.14	15.90
100008596	0	0	0	11.80	13.08	7.63
100008653	0	0	0	5.76	6.84	15.78
100008746	1	0	1	14.56	4.01	29.62
100008789	0	0	0	0.33	13.55	15.20
100008795	1	0	1	7.16	5.91	3.73
100008860	1	0	1	5.09	4.35	17.60
100008875	0	0	0	8.44	5.05	2.30
100008882	1	0	1	4.64	21.64	24.63
100008975	1	0	1	4.62	3.27	5.62
100009089	0	0	0	5.25	22.12	12.55
100009109	1	0	1	7.68	15.73	13.57
100009163	0	0	0	5.05	20.14	21.86
100009212	0	0	0	4.26	11.70	24.61
100009283	0	0	0	2.79	11.73	28.02
100009350	0	0	0	7.33	6.29	18.95
100009434	1	0	1	13.64	17.83	11.77
100009523	1	0	1	7.84	1.00	17.53
100009596	0	0	0	5.87	9.13	21.70
100009620	1	0	1	12.97	5.55	13.59
100009628	1	0	1	5.63	0.97	17.99
100009697	0	0	0	7.66	21.35	16.55
100009738	0	0	0	10.77	15.02	9.83
100009779	0	0	0	5.00	15.69	14.95
100009847	0	0	0	13.83	16.38	15.62
100009936	1	0	1	13.23	22.46	28.49
100009974	1	0	1	5.65	4.75	12.14
100010000	0	0	0	6.38	11.92	12.54
100010096	0	0	0	11.86	7.54	18.92
100010111	0	0	0	7.37	7.42	14.44
100010115	0	0	0	1.63	12.41	26.76
100010135	1	0	1	5.45	8.66	10.32
100010214	1	0	1	10.29	20.49	15.07
100010254	0	0	0	10.61	14.83	17.23
100010322	1	0	1	0.90	2.12	10.03
100010381	0	0	0	11.22	4.12	9.33
100010425	0	0	0	4.03	20.08	3.17
100010517	1	0	1	9.56	22.03	29.23
100010605	1	0	1	10.45	11.41	28.80
100010635	0	0	0	1.45	18.87	14.93
100010701	1	0	1	0.74	22.29	16.01
100010706	1	0	1	5.95	10.12	3.99
100010723	0	0	0	5.91	12.70	2.31
100010871	0	0	0	3.30	22.30	22.02
100010872	0	0	0	5.02	16.42	13.98
100010948	1	0	1	5.81	13.42	25.13
100011031	0	0	0	14.98	4.91	5.75
100011037	1	0	1	9.60	4.09	11.25
100011141	0	0	0	4.92	20.11	12.15
100011178	0	0	0	13.73	6.05	4.93
100011221	1	0	1	1.02	0.15	19.65
100011269	0	0	0	1.90	0.95	19.33
100011320	0	0	0	11.72	3.99	17.74
100011364	1	1	1	1.83	9.05	20.10
100011448	0	0	0	2.95	16.85	9.42
100011592	0	0	0	11.46	0.53	17.57
100011659	0	0	0	13.23	22.48	13.82
100011730	0	0	0	1.26	17.28	21.89
100011814	0	0	0	14.49	8.25	29.31
100011833	1	0	1	7.99	6.34	25.26
100011906	1	0	1	6.55	7.51	2.27
100011948	0	0	0	2.15	3.77	28.30
100011973	0	0	0	10.81	6.39	14.85
100012006	1	0	1	12.00	6.25	0.18
100012024	1	1	1	1.47	3.24	0.80
100012101	1	0	1	3.13	2.82	27.55
100012109	1	0	1	13.22	7.82	22.51
100012143	1	0	1	6.72	16.11	4.39
100012178	0	0	0	5.55	22.05	22.54
100012211	0	0	0	9.18	5.48	12.62
100012268	1	1	1	10.74	1.02	24.72
100012351	1	1	1	13.89	3.99	5.03
100012375	1	0	1	13.62	7.47	23.87
100012379	0	0	0	4.56	14.19	3.50
100012479	0	0	0	2.53	15.58	11.30
100012501	0	0	0	15.00	7.59	28.63
100012502	0	0	0	9.18	15.05	2.58
100012540	1	0	1	10.32	16.56	27.42
100012546	1	0	1	14.32	17.02	3.46
100012606	1	0	1	9.74	5.77	3.05
100012656	0	0	0	0.64	5.96	9.23
100012691	0	0	0	9.07	17.65	26.01
100012741	0	0	0	9.79	3.35	29.69
100012834	0	0	0	13.69	22.03	2.02
100012990	0	0	0	10.98	17.59	28.32
100013003	1	0	1	2.83	12.97	16.29
100013055	1	0	1	8.47	1.30	17.20
100013115	0	0	0	11.90	9.62	24.19
100013189	0	0	0	6.72	15.71	4.78
100013267	1	0	1	14.42	13.73	25.28
100013391	0	0	0	7.97	12.95	0.21
100013441	1	0	1	0.07	9.53	18.87
100013496	0	0	0	8.83	21.00	16.97
100013549	1	0	1	10.54	15.23	18.65
100013619	0	0	0	8.84	20.92	13.71
100013708	0	0	0	14.93	20.21	5.85
100013765	0	0	0	11.77	15.85	25.52
100013797	1	0	1	3.78	3.20	24.98
100013812	0	0	0	11.15	11.03	12.08
100013904	1	0	1	12.84	5.56	9.51
100013911	0	0	0	11.73	11.56	13.24
100013961	0	0	0	9.09	21.26	11.79
100014032	1	0	1	14.69	13.57	13.47
100014047	0	0	0	3.31	17.45	12.66
100014088	0	0	0	7.76	20.07	12.21
100014099	0	0	0	13.95	8.69	28.31
100014170	0	0	0	3.73	19.39	18.92
100014240	0	0	0	11.39	10.26	15.81
100014256	0	0	0	4.88	3.71	5.73
100014321	0	0	0	13.68	2.96	24.95
100014379	0	0	0	7.82	17.47	10.75
100014451	0	0	0	10.45	17.27	2.34
100014505	1	1	1	6.73	5.54	12.76
100014531	0	0	0	7.49	17.70	17.22
100014610	0	0	0	14.86	20.58	29.47
100014660	0	0	0	2.03	19.82	8.01
100014706	0	0	0	14.93	10.23	9.65
100014773	0	0	0	9.29	1.09	9.11
100014780	0	0	0	7.94	20.35	2.62
100014792	0	0	0	2.70	22.36	6.85
100014844	0	0	0	11.27	14.03	25.74
100014847	1	0	1	5.80	4.70	19.33
100015025	1	0	1	9.83	18.32	13.73
100015103	1	0	1	10.39	10.13	18.97
100015127	1	0	1	1.41	6.03	14.40
100015204	1	0	1	8.14	11.35	14.86
100015293	0	0	0	2.93	7.55	9.87
100015327	1	0	1	9.40	21.99	12.88
100015415	0	0	0	13.20	15.83	16.57
100015471	0	0	0	2.18	19.59	29.20
100015508	0	0	0	14.49	18.81	17.09
100015569	0	0	0	0.26	10.41	6.61
100015653	0	0	0	7.06	6.92	26.34
100015705	0	0	0	5.94	1.63	3.76
100015762	1	0	1	6.03	6.01	25.88
100015874	1	0	1	8.65	3.24	6.48
100015958	0	0	0	4.45	17.46	0.88
100015979	0	0	0	9.13	4.25	12.86
100016001	1	1	1	11.13	4.62	22.00
100016032	1	0	1	0.07	2.26	20.37
100016082	0	0	0	9.55	4.47	26.60
100016095	1	0	1	13.09	14.13	14.75
100016134	1	1	1	7.68	9.48	23.94
100016189	1	0	1	12.74	20.64	10.88
100016215	1	0	1	6.81	4.45	28.66
100016280	0	0	0	8.00	3.25	16.42
100016373	1	0	1	3.70	1.36	12.32
100016377	0	0	0	10.83	19.60	18.37
100016421	0	0	0	2.62	16.50	23.14
100016556	1	0	1	3.13	8.10	11.27
100016632	0	0	0	9.04	13.28	12.24
100016634	0	0	0	13.50	10.22	2.61
100016774	1	0	1	12.09	0.84	25.85
100016781	1	0	1	9.96	5.82	16.76
100016812	0	0	0	6.00	22.06	16.84
100016890	0	0	0	5.11	0.59	12.11
100017022	0	0	0	13.20	17.98	4.45
100017104	0	0	0	10.65	4.44	5.80
100017132	0	0	0	10.58	6.50	6.50
