Entertainment	Game Consoles	Hardware	Movies	Software	Streaming	Video Games	RepID
0.673592	0.000000	0.068875	0.000000	0.012914	0.183418	0.061202	1
0.477845	0.000000	0.044310	0.477845	0.000000	0.000000	0.000000	2
0.260924	0.000000	0.434457	0.210986	0.061174	0.000000	0.032459	3
0.000000	0.000000	0.064987	0.000000	0.224138	0.000000	0.710875	4
0.620354	0.000000	0.067917	0.000000	0.009592	0.087171	0.214966	5
0.000000	0.000000	0.226428	0.053609	0.105573	0.105573	0.508817	6
0.000000	0.000000	0.043319	0.719530	0.011013	0.000000	0.226138	7
0.000000	0.948868	0.000000	0.000000	0.000000	0.000000	0.051132	8
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	9
0.000000	0.000000	0.233906	0.000000	0.000000	0.000000	0.766094	10
0.256704	0.000000	0.116908	0.000000	0.015034	0.068215	0.543139	11
0.308979	0.000000	0.123788	0.000000	0.012365	0.027961	0.526907	12
0.025088	0.000000	0.101027	0.008251	0.052702	0.000000	0.812931	13
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	14
0.970500	0.000000	0.029500	0.000000	0.000000	0.000000	0.000000	15
0.015555	0.000000	0.031276	0.001580	0.051905	0.066378	0.833306	16
0.969282	0.000000	0.000000	0.000000	0.007217	0.000000	0.023501	17
0.000000	0.000000	0.024858	0.975142	0.000000	0.000000	0.000000	18
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	19
0.168091	0.000000	0.353276	0.000000	0.139601	0.000000	0.339031	20
0.000000	0.000000	0.000000	0.000000	0.000000	0.084071	0.915929	21
0.000000	0.000000	0.091589	0.110280	0.000000	0.000000	0.798131	22
0.000000	0.000000	0.114839	0.218065	0.000000	0.000000	0.667097	23
0.800742	0.000000	0.097285	0.004884	0.000000	0.040828	0.056261	24
0.741903	0.000000	0.023279	0.000000	0.154521	0.000000	0.080297	25
0.461509	0.538491	0.000000	0.000000	0.000000	0.000000	0.000000	26
0.000000	0.000000	0.204952	0.000000	0.000000	0.590096	0.204952	27
0.812133	0.000000	0.018839	0.032665	0.006740	0.000000	0.129623	28
0.000000	0.000000	0.088777	0.000000	0.165829	0.000000	0.745394	29
0.000000	0.000000	0.152993	0.000000	0.000000	0.000000	0.847007	30
0.659406	0.000000	0.000000	0.078548	0.000000	0.000000	0.262046	31
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	32
0.000000	0.000000	0.157825	0.000000	0.000000	0.277188	0.564987	33
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	34
0.000000	0.000000	0.000000	0.000000	0.000000	0.407407	0.592593	35
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	36
0.925101	0.000000	0.000000	0.000000	0.074899	0.000000	0.000000	37
0.000000	0.906250	0.000000	0.000000	0.000000	0.069556	0.024194	38
0.000000	0.000000	0.333333	0.333333	0.000000	0.333333	0.000000	39
0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	40
0.000000	0.000000	0.243707	0.000000	0.000000	0.552632	0.203661	41
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	42
0.000000	0.000000	0.912226	0.000000	0.000000	0.000000	0.087774	43
0.000000	0.000000	0.215190	0.000000	0.000000	0.000000	0.784810	44
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	45
0.000000	0.000000	0.926554	0.000000	0.000000	0.000000	0.073446	46
0.743987	0.000000	0.078748	0.000000	0.000000	0.131466	0.045799	47
0.000000	0.000000	0.875587	0.000000	0.000000	0.000000	0.124413	48
0.027368	0.000000	0.030135	0.331181	0.079643	0.000000	0.531673	49
0.000000	0.000000	0.098675	0.000000	0.010677	0.000000	0.890648	50
