Location,Cal Date,Temp,Day of Week,Sequence,Power Demand
1815,1/1/1995,12.9,1,1,4957.958269
1815,1/2/1995,23.2,2,2,5027.783737
1815,1/3/1995,14.3,3,3,5060.632771
1815,1/4/1995,10.3,4,4,5101.815557
1815,1/5/1995,19.5,5,5,5057.965542
1815,1/6/1995,30.5,6,6,5048.410832
1815,1/7/1995,30,7,7,4846.247591
1815,1/8/1995,43.5,1,8,5060.778889
1815,1/9/1995,39.8,2,9,5096.909727
1815,1/10/1995,43.6,3,10,5176.331206
1815,1/11/1995,46.9,4,11,5232.519577
1815,1/12/1995,39.7,5,12,5136.119331
1815,1/13/1995,35,6,13,5071.131973
1815,1/14/1995,34.3,7,14,4866.357809
1815,1/15/1995,43.6,1,15,5068.277232
1815,1/16/1995,40.6,2,16,5109.374287
1815,1/17/1995,25.1,3,17,5078.429089
1815,1/18/1995,23.2,4,18,5108.929764
1815,1/19/1995,28.7,5,19,5083.332372
1815,1/20/1995,28.2,6,20,5048.085026
1815,1/21/1995,24,7,21,4819.561215
1815,1/22/1995,23,1,22,4965.639368
1815,1/23/1995,24.9,2,23,5035.930746
1815,1/24/1995,32.6,3,24,5117.260479
1815,1/25/1995,34.5,4,25,5159.138601
1815,1/26/1995,35.7,5,26,5118.542559
1815,1/27/1995,37.4,6,27,5095.976312
1815,1/28/1995,33.7,7,28,4850.858147
1815,1/29/1995,28.9,1,29,4986.768794
1815,1/30/1995,30.6,2,30,5049.033016
1815,1/31/1995,40.2,3,31,5165.104756
1815,2/1/1995,43.6,4,32,5202.323259
1815,2/2/1995,48.8,5,33,5197.735778
1815,2/3/1995,36.5,6,34,5092.827647
1815,2/4/1995,42.2,7,35,4904.551089
1815,2/5/1995,37.4,1,36,5033.022338
1815,2/6/1995,39,2,37,5101.953114
1815,2/7/1995,34.9,3,38,5126.379656
1815,2/8/1995,30.9,4,39,5123.759834
1815,2/9/1995,32.8,5,40,5114.657165
1815,2/10/1995,31.3,6,41,5060.877048
1815,2/11/1995,12,7,42,4800.844032
1815,2/12/1995,5.3,1,43,4944.558607
1815,2/13/1995,4,2,44,5021.228475
1815,2/14/1995,22.9,3,45,5071.16321
1815,2/15/1995,27,4,46,5110.244308
1815,2/16/1995,29.6,5,47,5101.468457
