Location,Cal Date,Temp,Day of Week,Sequence,Power Demand
1815,10/29/2012,47.8,2,6512,5078.556981
1815,10/30/2012,51.9,3,6513,5191.69733
1815,10/31/2012,53.3,4,6514,5252.931421
1815,11/1/2012,51.5,5,6515,4837.710249
1815,11/2/2012,54.7,6,6516,5290.832065
1815,11/3/2012,43.7,7,6517,5081.911998
1815,11/4/2012,37.2,1,6518,5007.462074
1815,11/5/2012,46.1,2,6519,
1815,11/6/2012,51.2,3,6520,
1815,11/7/2012,52.7,4,6521,
1815,11/8/2012,51,5,6522,
1815,11/9/2012,53.1,6,6523,
1815,11/10/2012,42.7,7,6524,
1815,11/11/2012,35.5,1,6525,
