OFFER_DATE,AGE,GENDER,RACE,RFM_SCORE,CUSTOMER_SEGMENT,RESPONSE
2/14/2011,18,M,BLACK,1800,segment-9,1
7/18/2010,18,F,BLACK,1800,segment-8,1
5/28/2010,18,M,WHITE,1800,segment-8,1
10/13/2010,18,M,WHITE,1800,segment-7,1
7/28/2010,18,F,HISPANIC,1800,segment-5,1
11/27/2010,18,F,WHITE,1800,segment-5,1
4/26/2010,18,F,BLACK,1800,segment-4,0
2/5/2010,18,F,WHITE,1800,segment-3,1
6/25/2011,18,F,BLACK,1800,segment-3,1
10/3/2011,18,F,WHITE,1800,segment-3,1
4/23/2011,18,M,BLACK,1800,segment-2,1
3/22/2010,18,M,HISPANIC,1800,segment-10,1
10/5/2010,18,F,WHITE,1500,segment-8,1
1/4/2010,18,F,BLACK,1500,segment-7,1
10/7/2010,18,M,BLACK,1500,segment-7,1
8/3/2011,18,F,BLACK,1500,segment-6,1
12/11/2010,18,M,BLACK,1500,segment-6,1
3/29/2011,18,F,BLACK,1500,segment-4,1
3/26/2010,18,M,WHITE,1500,segment-4,1
12/20/2010,18,M,WHITE,1500,segment-4,1
7/30/2010,18,F,BLACK,1500,segment-3,0
9/25/2010,18,F,WHITE,1500,segment-3,1
4/27/2011,18,F,WHITE,1500,segment-3,1
11/7/2011,18,F,BLACK,1500,segment-3,1
6/28/2011,18,M,BLACK,1500,segment-3,1
7/15/2011,18,F,WHITE,1500,segment-10,1
3/27/2011,18,M,BLACK,1500,segment-10,1
6/9/2010,18,M,WHITE,1500,segment-1,1
7/12/2011,18,M,WHITE,1500,segment-1,1
7/25/2010,18,F,BLACK,1200,segment-9,1
2/26/2011,18,M,BLACK,1200,segment-9,1
2/24/2010,18,F,WHITE,1200,segment-7,1
5/3/2010,18,M,WHITE,1200,segment-7,1
2/2/2011,18,M,BLACK,1200,segment-7,1
3/24/2010,18,F,WHITE,1200,segment-6,1
1/20/2011,18,F,BLACK,1200,segment-6,1
9/22/2011,18,M,BLACK,1200,segment-6,0
1/18/2011,18,F,WHITE,1200,segment-5,1
4/27/2011,18,F,BLACK,1200,segment-5,1
3/28/2011,18,M,WHITE,1200,segment-5,1
8/24/2011,18,F,WHITE,1200,segment-4,1
10/16/2011,18,M,HISPANIC,1200,segment-4,1
11/14/2010,18,F,HISPANIC,1200,segment-3,1
2/19/2011,18,F,BLACK,1200,segment-3,1
4/6/2010,18,M,BLACK,1200,segment-3,1
6/12/2010,18,M,HISPANIC,1200,segment-2,1
10/17/2010,18,M,WHITE,1200,segment-2,1
11/14/2010,18,M,WHITE,1200,segment-2,1
9/23/2010,18,M,WHITE,1200,segment-10,1
11/1/2010,18,M,WHITE,1200,segment-10,1
12/14/2010,18,M,BLACK,1200,segment-10,1
1/24/2011,18,M,WHITE,1200,segment-10,1
9/6/2010,18,M,BLACK,1200,segment-1,0
3/5/2011,18,M,WHITE,1200,segment-1,1
2/4/2010,18,M,BLACK,900,segment-9,1
8/3/2010,18,F,WHITE,900,segment-8,1
8/4/2010,18,F,BLACK,900,segment-8,1
4/14/2011,18,F,WHITE,900,segment-8,1
7/25/2011,18,M,BLACK,900,segment-8,1
9/28/2011,18,F,WHITE,900,segment-7,1
6/19/2011,18,F,WHITE,900,segment-5,1
1/26/2010,18,M,BLACK,900,segment-5,1
11/16/2011,18,M,WHITE,900,segment-5,1
6/22/2011,18,F,HISPANIC,900,segment-3,1
4/29/2010,18,F,HISPANIC,900,segment-2,1
11/1/2010,18,F,BLACK,900,segment-2,1
7/31/2011,18,F,WHITE,900,segment-2,1
4/26/2010,18,F,WHITE,900,segment-10,1
4/22/2011,18,F,HISPANIC,900,segment-10,1
7/11/2010,18,M,WHITE,900,segment-10,0
6/23/2010,18,F,WHITE,900,segment-1,0
3/3/2011,18,M,WHITE,900,segment-1,0
10/5/2011,18,F,BLACK,600,segment-8,1
10/23/2010,18,F,WHITE,600,segment-7,1
4/18/2010,18,F,WHITE,600,segment-6,1
6/5/2011,18,F,BLACK,600,segment-5,1
11/3/2011,18,M,WHITE,600,segment-5,1
9/5/2010,18,M,WHITE,600,segment-4,1
7/9/2011,18,M,BLACK,600,segment-4,1
6/28/2010,18,F,BLACK,600,segment-3,1
12/13/2010,18,F,BLACK,600,segment-3,1
1/20/2011,18,F,HISPANIC,600,segment-3,1
4/24/2011,18,F,WHITE,600,segment-3,1
1/9/2010,18,M,WHITE,600,segment-3,1
3/6/2010,18,F,WHITE,600,segment-2,1
6/23/2011,18,F,WHITE,600,segment-2,1
5/17/2010,18,F,WHITE,600,segment-10,1
8/15/2011,18,F,BLACK,600,segment-1,1
